id n0 n1 x y z
1 1 1 18.61318077 28.91037016 10.34414625
2 1 1 18.66651937 28.49293314 9.59399674
3 1 1 19.08908694 29.20451878 9.67474363
4 1 1 18.62074177 29.38238779 11.13356002
5 1 1 19.04613315 29.68335943 10.40631176
6 1 1 18.58200697 29.65197260 11.87126286
7 1 1 19.04241131 30.14883290 11.13015208
8 1 1 18.70542617 30.25377386 12.55768949
9 1 1 18.98247095 30.44288767 11.80706083
10 1 1 18.86008288 30.85528202 13.13255370
11 1 1 19.18685637 31.03871009 12.30434564
12 1 1 18.98401161 31.39757636 13.80381787
13 1 1 19.32365899 31.57907686 12.97443022
14 1 1 19.13282973 31.95179378 14.48646105
15 1 1 19.47712629 32.10651739 13.65888527
16 1 1 19.67567445 32.63873289 14.34507454
17 1 1 17.83741965 26.28141182 8.93072360
18 1 1 17.84220494 25.73242991 8.18901285
19 1 1 18.21041647 26.59725354 8.30616749
20 1 1 17.91607784 26.84171623 9.56457034
21 1 1 18.26039500 27.20159152 8.89790321
22 1 1 18.00153400 27.35921532 10.20640195
23 1 1 18.29459461 27.74418247 9.54737342
24 1 1 18.23586698 28.10543019 10.42319908
25 1 1 18.32390921 28.63658443 11.09278154
26 1 1 18.29014982 28.79396794 11.90747385
27 1 1 18.41450078 29.42975644 12.66108652
28 1 1 18.52618408 30.02607036 13.35978555
29 1 1 18.63432939 30.58545944 13.96222349
30 1 1 18.74951124 31.16832648 14.62703189
31 1 1 19.22943120 32.38788305 15.20745313
32 1 1 18.83651647 31.66080815 15.34456539
33 1 1 18.90870557 32.09613925 16.08807895
34 1 1 19.33152419 32.80048481 15.94918249
35 1 1 19.01139702 32.56001106 16.84436428
36 1 1 19.46908775 33.21563917 16.69741531
37 1 1 19.20575796 33.10452367 17.59048367
38 1 1 17.40929108 24.87362175 8.45822827
39 1 1 17.36380528 24.17439923 7.70878617
40 1 1 17.68579495 24.97942822 7.75533384
41 1 1 17.52204201 25.49610840 9.04976739
42 1 1 17.62412022 26.03868174 9.77179129
43 1 1 17.75741853 26.58993354 10.44568742
44 1 1 17.93835614 27.31485327 11.00821883
45 1 1 18.09478764 27.96786420 11.41163895
46 1 1 18.23749541 28.64361212 12.72175531
47 1 1 18.34536768 29.22107337 13.52407084
48 1 1 18.41823195 29.68536171 14.21194617
49 1 1 18.51157679 30.31277355 14.76153587
50 1 1 18.58183725 30.84940634 15.45442381
51 1 1 18.62267874 31.27305008 16.18377747
52 1 1 18.67953881 31.74928115 16.90981340
53 1 1 18.77150818 32.27640014 17.64008437
54 1 1 19.21670830 33.32793521 18.44435787
55 1 1 18.83307785 32.65843380 18.40749402
56 1 1 18.99152045 33.16454770 19.25965993
57 1 1 16.96901586 23.44863749 8.12789755
58 1 1 16.80750711 22.68808529 7.70085663
59 1 1 17.22042084 23.36612725 7.27805417
60 1 1 17.11083289 24.11708952 8.64881886
61 1 1 17.24720087 24.71177428 9.33895016
62 1 1 17.40692848 25.26946010 9.98863099
63 1 1 17.57970639 25.81058269 10.68339714
64 1 1 17.94014342 27.13544679 11.89085249
65 1 1 17.77284456 26.48241926 11.31248045
66 1 1 18.08882060 27.88575615 12.23763306
67 1 1 18.13980760 27.82644794 13.03292982
68 1 1 18.24991903 28.48317657 13.56443361
69 1 1 18.32936550 28.79624587 14.42451637
70 1 1 18.39558471 29.40746707 15.05353557
71 1 1 18.44728693 29.99662983 15.55753597
72 1 1 18.48974086 30.84416361 16.96238482
73 1 1 18.46960363 30.37680521 16.25295442
74 1 1 18.51698656 31.35866450 17.66492668
75 1 1 18.54233579 31.81006741 18.39214891
76 1 1 18.59797080 32.29421069 19.14855728
77 1 1 19.03115214 33.37774407 20.09455065
78 1 1 18.61492793 32.57776016 19.91285780
79 1 1 18.69893975 32.92596736 20.62685009
80 1 1 16.44308172 21.90097673 8.12662023
81 1 1 16.55621454 21.14804875 6.96990293
82 1 1 16.66263823 21.92154388 7.32936986
83 1 1 16.64306952 22.65365210 8.53149315
84 1 1 16.84036103 23.34545997 9.02432095
85 1 1 17.03428378 23.95297935 9.60678582
86 1 1 17.44482548 25.01941210 10.92775130
87 1 1 17.23659370 24.49324262 10.27578456
