id id2 v0 v1 v2
1 1 1 3 2
2 2 1 5 3
3 3 4 5 1
4 4 4 7 5
5 5 6 7 4
6 6 6 9 7
7 7 8 9 6
8 8 8 11 9
9 9 10 11 8
10 10 10 13 11
11 11 12 13 10
12 12 12 15 13
13 13 14 15 12
14 14 14 16 15
15 15 17 19 18
16 16 17 21 19
17 17 20 21 17
18 18 20 23 21
19 19 22 23 20
20 20 24 2 23
21 21 1 2 24
22 22 24 23 22
23 23 1 25 4
24 24 24 25 1
25 25 4 26 6
26 26 25 26 4
27 27 6 27 8
28 28 26 27 6
29 29 8 28 10
30 30 27 28 8
31 31 10 29 12
32 32 28 29 10
33 33 12 30 14
34 34 29 30 12
35 35 14 31 16
36 36 32 31 14
37 37 30 32 14
38 38 33 34 31
39 39 33 31 32
40 40 35 36 34
41 41 35 34 33
42 42 35 37 36
43 43 38 40 39
44 44 38 18 40
45 45 41 18 38
46 46 41 17 18
47 47 17 42 20
48 48 41 42 17
49 49 20 43 22
50 50 42 43 20
51 51 22 44 24
52 52 43 44 22
53 53 24 45 25
54 54 44 45 24
55 55 66 46 26
56 56 45 26 25
57 57 26 46 27
58 58 46 47 27
59 59 27 47 28
60 60 47 48 28
61 61 28 48 29
62 62 48 49 29
63 63 29 49 30
64 64 49 50 30
65 65 30 50 32
66 66 50 51 32
67 67 32 51 33
68 68 51 52 33
69 69 33 52 35
70 70 52 53 35
71 71 35 53 37
72 72 55 54 37
73 73 53 55 37
74 74 55 56 54
75 75 57 59 58
76 76 57 39 59
77 77 60 39 57
78 78 60 38 39
79 79 38 61 41
80 80 60 61 38
81 81 41 62 42
82 82 61 62 41
83 83 42 63 43
84 84 62 63 42
85 85 65 64 44
86 86 65 44 43
87 87 63 65 43
88 88 64 66 45
89 89 64 45 44
90 90 66 67 46
91 91 66 26 45
92 92 46 68 47
93 93 67 68 46
94 94 47 69 48
95 95 68 69 47
96 96 48 70 49
97 97 69 70 48
98 98 49 71 50
99 99 70 71 49
100 100 71 73 50
101 101 73 72 51
102 102 73 51 50
103 103 51 72 52
104 104 72 74 52
105 105 52 74 53
106 106 74 75 53
107 107 53 75 55
108 108 75 76 55
109 109 55 76 56
110 110 78 77 56
111 111 76 78 56
112 112 78 79 77
113 113 80 82 100
114 114 80 58 82
115 115 83 58 80
116 116 83 57 58
117 117 57 84 60
118 118 83 84 57
119 119 60 85 61
120 120 84 85 60
121 121 87 86 62
122 122 87 62 61
123 123 85 87 61
124 124 86 88 63
125 125 86 63 62
126 126 63 88 65
127 127 72 73 89
128 128 72 90 74
129 129 89 90 72
130 130 74 92 75
131 131 92 91 75
132 132 90 92 74
133 133 75 91 76
134 134 91 93 76
135 135 76 93 78
136 136 93 94 78
137 137 78 94 79
138 138 94 95 79
139 139 94 96 95
140 140 96 97 95
141 141 98 100 99
142 142 98 101 100
143 143 82 81 100
144 144 101 80 100
145 145 80 102 83
146 146 101 102 80
147 147 83 103 84
148 148 102 103 83
149 149 105 104 85
150 150 105 85 84
151 151 103 105 84
152 152 85 104 87
153 153 91 92 106
154 154 91 108 93
155 155 108 107 93
156 156 106 108 91
157 157 93 107 94
158 158 107 109 94
159 159 94 109 96
160 160 109 110 96
161 161 96 111 97
162 162 110 111 96
163 163 110 112 111
164 164 112 113 111
165 165 114 116 115
166 166 114 117 116
167 167 98 99 116
168 168 117 98 116
169 169 98 118 101
170 170 117 118 98
171 171 101 119 102
172 172 118 119 101
173 173 121 120 103
174 174 121 103 102
175 175 119 121 102
176 176 103 120 105
177 177 107 108 122
178 178 107 124 109
179 179 124 123 109
180 180 122 124 107
181 181 109 123 110
182 182 123 125 110
183 183 110 125 112
184 184 125 126 112
185 185 112 127 113
186 186 126 127 112
187 187 126 128 127
188 188 128 129 127
189 189 114 131 130
190 190 115 131 114
191 191 114 132 117
192 192 130 132 114
193 193 117 133 118
194 194 132 133 117
195 195 135 134 119
196 196 135 119 118
197 197 133 135 118
198 198 119 134 121
199 199 123 124 136
200 200 123 138 125
201 201 138 137 125
202 202 136 138 123
203 203 125 137 126
204 204 137 139 126
205 205 126 139 128
206 206 139 140 128
207 207 128 141 129
208 208 140 141 128
209 209 130 143 142
210 210 131 143 130
211 211 130 144 132
212 212 142 144 130
213 213 132 145 133
214 214 144 145 132
215 215 145 146 133
216 216 146 135 133
217 217 138 148 137
218 218 148 147 137
219 219 137 147 139
220 220 147 149 139
221 221 139 149 140
222 222 149 150 140
223 223 140 151 141
224 224 150 151 140
225 225 152 154 153
226 226 155 142 154
227 227 142 143 154
228 228 155 154 152
229 229 142 156 144
230 230 155 156 142
231 231 158 157 145
232 232 158 145 144
233 233 156 158 144
234 234 145 157 146
235 235 147 148 159
236 236 147 161 149
237 237 161 160 149
238 238 159 161 147
239 239 149 160 150
240 240 160 162 150
241 241 150 163 151
242 242 164 163 162
243 243 162 163 150
244 244 164 165 163
245 245 152 167 166
246 246 153 167 152
247 247 152 168 155
248 248 166 168 152
249 249 168 169 156
250 250 168 156 155
251 251 169 170 156
252 252 170 158 156
253 253 161 172 160
254 254 172 171 160
255 255 160 173 162
256 256 171 173 160
257 257 162 173 164
258 258 173 174 164
259 259 164 175 165
260 260 174 175 164
261 261 166 177 176
262 262 167 177 166
263 263 166 178 168
264 264 176 178 166
265 265 168 178 169
266 266 178 179 169
267 267 169 180 170
268 268 179 180 169
269 269 171 182 181
270 270 172 182 171
271 271 171 183 173
272 272 181 183 171
273 273 173 183 174
274 274 183 184 174
275 275 174 185 175
276 276 184 185 174
277 277 176 187 186
278 278 177 187 176
279 279 176 188 178
280 280 186 188 176
281 281 178 188 179
282 282 188 189 179
283 283 179 190 180
284 284 189 190 179
285 285 181 192 191
286 286 182 192 181
287 287 181 193 183
288 288 191 193 181
289 289 183 193 184
290 290 193 194 184
291 291 184 195 185
292 292 194 195 184
293 293 186 197 196
294 294 187 197 186
295 295 186 198 188
296 296 196 198 186
297 297 188 198 189
298 298 198 199 189
299 299 189 200 190
300 300 199 200 189
301 301 191 202 201
302 302 192 202 191
303 303 191 203 193
304 304 201 203 191
305 305 193 203 194
306 306 203 204 194
307 307 194 205 195
308 308 204 205 194
309 309 196 207 206
310 310 197 207 196
311 311 196 208 198
312 312 206 208 196
313 313 198 208 199
314 314 208 209 199
315 315 199 210 200
316 316 209 210 199
317 317 201 212 211
318 318 202 212 201
319 319 201 213 203
320 320 211 213 201
321 321 203 213 204
322 322 213 214 204
323 323 204 215 205
324 324 214 215 204
325 325 206 217 216
326 326 207 217 206
327 327 206 218 208
328 328 216 218 206
329 329 208 218 209
330 330 218 219 209
331 331 209 220 210
332 332 219 220 209
333 333 211 222 221
334 334 212 222 211
335 335 211 223 213
336 336 221 223 211
337 337 223 224 214
338 338 223 214 213
339 339 214 225 215
340 340 224 225 214
341 341 216 217 226
342 342 216 227 218
343 343 228 227 216
344 344 226 228 216
345 345 218 227 219
346 346 227 229 219
347 347 229 230 219
348 348 230 220 219
349 349 229 231 230
350 350 231 232 230
351 351 233 235 234
352 352 233 236 235
353 353 221 235 236
354 354 221 222 235
355 355 221 237 223
356 356 236 237 221
357 357 223 237 224
358 358 239 238 224
359 359 237 239 224
360 360 224 238 225
361 361 228 241 240
362 362 228 240 227
363 363 227 240 229
364 364 240 242 229
365 365 229 242 231
366 366 242 243 231
367 367 231 244 232
368 368 243 244 231
369 369 233 246 245
370 370 234 246 233
371 371 233 247 236
372 372 245 247 233
373 373 236 248 237
374 374 247 248 236
375 375 248 249 239
376 376 248 239 237
377 377 241 251 250
378 378 241 250 240
379 379 240 250 242
380 380 250 252 242
381 381 242 252 243
382 382 252 253 243
383 383 243 254 244
384 384 253 254 243
385 385 253 255 254
386 386 255 256 254
387 387 257 259 258
388 388 257 260 259
389 389 245 246 259
390 390 260 245 259
391 391 245 261 247
392 392 260 261 245
